CountryID,Country Name,Currency,Average Exchange Rate,Year Exchanged,Indicator Name,Amount,USD,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,45.31,2006,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","4,186,250,000,000",92391304347.83,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,45.31,2006,"Transport, storage and communication (ISIC I)","2,938,870,000,000",64861399249.61,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,41.35,2007,Exports of goods and services,"10,189,070,000,000",246410399032.65,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,41.35,2007,Imports of goods and services,"12,191,090,000,000",294826844014.51,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,41.35,2007,Gross Domestic Product (GDP),"48,986,620,000,000",1184682466747.28,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,41.35,2007,Manufacturing (ISIC D),"8,261,380,000,000",199791535671.10,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,41.35,2007,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","4,749,440,000,000",114859492140.27,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,41.35,2007,"Transport, storage and communication (ISIC I)","3,294,500,000,000",79673518742.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,43.51,2008,Exports of goods and services,"13,287,650,000,000",305393013100.44,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,43.51,2008,Imports of goods and services,"16,140,400,000,000",370958400367.73,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,43.51,2008,Gross Domestic Product (GDP),"55,141,520,000,000",1267329809239.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,43.51,2008,Manufacturing (ISIC D),"9,428,470,000,000",216696621466.33,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,43.51,2008,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","5,367,950,000,000",123372787864.86,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,43.51,2008,"Transport, storage and communication (ISIC I)","3,675,310,000,000",84470466559.41,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,48.41,2009,Exports of goods and services,"12,987,800,000,000",268287543895.89,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,48.41,2009,Imports of goods and services,"16,471,390,000,000",340247676099.98,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,48.41,2009,Gross Domestic Product (GDP),"63,664,070,000,000",1315101631894.24,,,,,,,,,,,,,,,,,,,,,,,,,,
1,India,Indian Rupee,48.41,2009,Manufacturing (ISIC D),"10,914,300,000,000",225455484404.05,,,,,,,,,,,,,,,,,,,,,,,,,,
